"","title","salary","race","gender","sexuality","employ_status","yrs_role","yrs_exp","reports_ind","reports_dir","additonal_comp","notes"
"154","Product Manager","79000","Hispanic","Woman (cisgender)","Straight","Full-time","3","3","1","0","Received a 1-time bonus of $1500 (before taxes)","Starting salary was $72K; EA before and this role was considered a ""promotion"" despite being a completely different job therefore merit review was not given the following year; received a salary decrease while being an EA when CN hours went from 35 to 40; have worked at CN for over 4 years (it'll be 3 years in this role end of July)"
"155","Digital Producer","80000","White","Woman (cisgender)","Straight","Full-time","1","5","2","0","0",NA
"156","Senior Manager","120000","Asian","Woman (cisgender)","Straight","Full-time","5","14","3","2","Performance based bonus",NA
"157","Associate Manager, Audience Development Strategy","90000","White","Woman (cisgender)","Straight","Full-time","1","4","0","0","0","Hired at lower level than interviewed for; took a title and pay cut to come to CN"
"158","Photo Editor","70000","White","Woman (cisgender)","Prefer Not to Say","Full-time","2","6","NULL","NULL","0",NA
"159","Sr Director, Marketing","115000","White","Woman (cisgender)","Straight","Full-time","3","12","NULL","NULL","$6k potential annual bonus",NA
"160","Associate Account Manager","68500","White","Man (cisgender)","Straight","Full-time","5","5","0","0","Quarterly bonus dependent on hitting goals",NA
"161","Senior Writer","72000","Asian","Woman (cisgender)","Straight","Full-time","3","10","NULL","NULL","none","Portland, Oregon, was offered $55K to start. Got a new editor who raised that up proportionate to my title."
"162","Senior Manager","106500","Asian","Woman (cisgender)","Straight","Full-time","2","9","0","0","0",NA
"163","Director","170000","White","Woman (cisgender)","Straight","Full-time","1","10","2","8","8000","My salary is the same as it was at my previous company (minus bonus), but the title and responsibilities were a significant step up."
"164","Sales Associate","50000","Hispanic/ Latinx","Woman (cisgender)","Straight","Full-time","2","2","0","0","OT",NA
"165","Associate Director, Social Media","90000","Asian","Woman (cisgender)","Straight","Full-time","5","10","2","1","N/A",NA
"166","Senior Manager","105000","Asian American","Woman (cisgender)","Straight","Full-time","2","6","0","0","kpi bonus",NA
"167","Director, Branded","130000","white","Woman (cisgender)","Straight","Full-time","1","11","NULL","NULL","quarterly bonuses based on sales goals","My salary is higher than my previous job at a competitor company. However I know it's less than what a Man employee with similar experience was compensated when he was hired by CNE."
"168","Director","1e+05","African American","Woman (cisgender)","Straight","Full-time","1","5","0","2","N/A",NA
"169","Production Manager","78000","Latinx","Woman (cisgender)","Bisexual","Contract","1","2","NULL","NULL","n/a","Asked for a higher rate when hired, was told ""that doesn't happen here"""
"170","Marketing Director","106000","WHITE","Man (cisgender)","Straight","Full-time","1","8","0","0","0","MY REVIEW WAS SKIPPED IN MARCH."
"171","Executive Assistant","70000","White","Man (cisgender)","Gay","Full-time","2","20 or more","NULL","NULL","None",NA
"172","Associate Editor","65000","White","Woman (cisgender)","Straight","Full-time","2","6","0","0","$1K in branded appearances","This is my third role at the brand. First raise out of overtime left me making less than with overtime. Second and third raises were state-mandated thanks to NY's minimum overtime exemption changes. Most recent raise came with title change to Assoc. Ed"
"173","Account Director","75000","White","Man (cisgender)","Gay","Full-time","2","4","0","0","$5k Quarterly Bonus contingent on hitting Revenue Goal","Based in NYC. I originally started off with a $60k salary in a more junior position in 2018 but was offered this role and a $15k promotion. Though, my colleagues in the same role (some who have less experience/no experience at all in our particular field) make more than 3x my salary. 

Since COVID, a teammate has left the company and I have been told (not asked) to take over their role and accounts with no additional compensation and no chance of it for the foreseeable future ."
"174","Sales Planner","58500","White","Woman (cisgender)","Straight","Part-time","1","2","NULL","1","yearly bonus","none"
"175","Assistant Photo Editor","58500","White","Woman (cisgender)","Straight","Full-time","1","3","NULL","NULL","Overtime eligible","Originally offered $48,000 and negotiated"
"176","Editorial Assistant","40000","Black","Man (cisgender)","Queer","Full-time","2","5","0","0","Occasional over time when pre-approved","Started out permalancing at $20/hour, was ""promoted"" into a full-time role"
"177","Associate Producer","60000","Black","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","none",NA
"178","Associate Account Manager","63000","White","Woman (cisgender)","Straight","Full-time","2","5","0","0","Quarterly bonus (only if goals are hit)",NA
"179","Senior Editor","85000","white","Woman (cisgender)","Straight","Full-time","2","7","0","4","11000","This was 2015-2016"
"180","web editor","110000","white","Man (cisgender)","Straight","Full-time","1","10","0","5","$14,000 annual allowance on dining/travel/etc",NA
"181","Supervising Producer, Video","1e+05","White","Woman (cisgender)","Prefer Not to Say","Full-time","1","5","NULL","NULL","Bonus",NA
"182","Marketing Manager","80000","Black","Woman (cisgender)","Straight","Full-time","2","5","0","0","Annual bonus if Sales meets their goal (despite working on Marketing.)",NA
"183","Supervising Producer","130000","White","Woman (cisgender)","Lesbian","Full-time","1","11","2","8","none","was offered 120k and countered based on my freelance rate at the time + experience level, they countered back; also inquired about bonus structure and was told no bonus attached to position"
"184","Director","110000","White","Woman (cisgender)","Straight","Full-time","2","8","NULL","NULL","10k bonus",NA
"185","Senior Digital Designer","80000","Black","Woman (cisgender)","Straight","Freelance","2","6","0","0","None, No benefits","No raise in 2 years..."
"186","Senior editor","109000","White","Woman (cisgender)","Straight","Full-time","2","11","2","3","0",NA
"187","Director, Marketing","107000","Asian","Woman (cisgender)","Straight","Full-time","2","9","0","0","3k bonus (only if Sales goals are met)",NA
"188","Editorial assistant","29000","White","Woman (cisgender)","Straight","Full-time","2","1","NULL","NULL","Overtime and paid $1.50/word to write for other sections of the magazine","Held this role from 2008-2010, with no raises despite stellar performance reviews."
"189","Senior editor","90000","White","Woman (cisgender)","Straight","Full-time","1","5","NULL","NULL","None","I held this position in 2013."
"190","Associate Art Director","70000","White","Woman (cisgender)","Bisexual","Full-time","3","10","NULL","5","No","Raises and promotions: Went from Associate AD, to Art Director, to Design Director in the span of three years, and left at $90000."
"191","Executive/Editorial Assistant","45000","Asian","Woman (cisgender)","Bisexual","Full-time","1","1","NULL","NULL","0","Negotiated from 42k"
"192","Associate Social Media Manager","58500","White","Man (cisgender)","Queer","Full-time","2","7","0","0","None",NA
"193","Research manager","67000","White","Woman (cisgender)","Straight","Full-time","1","2","0","0","0",NA
"194","Audience Development Director","120000","white","Woman (cisgender)","Straight","Full-time","5","8","NULL","3","$4-6k KPI bonus- twice a year","Started at $65k as analyst, manager level. Promoted to Aud Dev Sr manager $80k, then to associate director $110k, then director $120k. Asked for more with director promotion, CN wouldn't budge. When I told them I was leaving a few months later they offered to match offer at $135k."
"195","senior food editor","75000","white","Woman (cisgender)","Straight","Full-time","4","8","0","0","video hosting, hosting ad sales events in NYC and beyond: zero compensation","I started at a $250 day rate as a ""permalancer"" for the first full year. Year 2: I got a staff position at $40k/ year.  Year 3, that went up to $50k and ""associate"" editor (after I got another job offer), Year 4, $60k and ""senior editor"". My last raise to $75k was in the last 6 months of my tenure."
"196","Video Producer","63000","White","Man (cisgender)","Bisexual","Full-time","5","8","0","NULL","none","Started off as a GES permalancer for a year. I have not had a raise since 2018."
"197","Video Editor","21000","Asian","Prefer Not to say","Prefer Not to Say","Full-time","1","1","0","0","0",NA
"198","Producer","78000","Asian","Woman (cisgender)","Queer","Freelance","1","4","0","0","n/a","Part-time freelance so no benefits, PTO, etc."
"199","Director","250000","Black","Man (cisgender)","Queer","Full-time","2","10","NULL","4","0","I feel fairly compensated and relatively well-respected by my peers and directs. I came from outside Condé"
"200","Senior Manager","115000","Hispanic/Latinx","Man (cisgender)","Straight","Full-time","2","4","NULL","NULL","performance-based bonus","I knew people coming in who were able to advise me on salary and negotiations"
"201","Senior Editor","95000","white","Woman (cisgender)","Straight","Full-time","3","6","3","5","bonus","started at $72K with different title, given 2 raises and 1 title change in the past 3 years"
"202","Associate Manager, Strategy","69000","Mixed (Black/Caucasian)","Woman (cisgender)","Straight","Full-time","2","7","0","0","Quarterly Bonus, typically ~$1K","When I started at Condé my bonus was 10% of my salary but one year in it was restructured and reduced. No raises or promotions."
"203","Associate Editor","90000","Asian","Man (cisgender)","Straight","Full-time","1","5","NULL","7","none",NA
"204","Writer","70000","Biracial","Woman (cisgender)","Bisexual","Full-time","1","7","NULL","0","0","Remote employee not in SF/NY."
"205","Web Producer","32000","White","Woman (cisgender)","Straight","Full-time","3","3","0","0","up to 5% of salary","Started as a digital permalancer with no benefits making $15/hr to do web production of print mag and special content, involved editorial, design, and light web development responsibilities. A year or so later, CN interns sued and they were forced to hire or fire all permalancers. Got an offer of $32k with refusal to negotiate, actually making less than the hourly rate when benefits were factored in. Male counterpart made $15k more per year in the same title. Left when it was clear there was no room for growth at the publication – digital team back then was not as crucial as it is now."
"206","Senior Manager","85000","Asian","Man (cisgender)","Straight","Full-time","3","9","0","1","0",NA
"207","Senior Manager","120000","Asian","Woman (cisgender)","Straight","Full-time","3","6","NULL","2","$11K flat rate not sure why","Started at 92K. Raise / promotion only came with bringing in external offer."
"208","Product Manager","95000","Asian","Man (cisgender)","Queer","Full-time","2","2","0","0","0",NA
"209","Senior Editor","150000","Black","Man (cisgender)","Bisexual","Full-time","1","10","0","0","0",NA
"210","Video Producer","70000","White","Woman (cisgender)","Straight","Full-time","1","3","0","0","""bonus eligible""",NA
"211","copy editor","83000","white","Woman (cisgender)","Straight","Full-time","8","8","2","0","none",NA
"212","Video Producer","78000","White","Woman (cisgender)","Bisexual","Freelance","1","9","NULL","NULL","none",NA
"213","Video Editor","112500","White","Man (cisgender)","Straight","Freelance","1","7","NULL","NULL","0",NA
"214","Staff Writer","96500","south asian","Woman (cisgender)","Straight","Full-time","2","8","0","0","at hiring received 5K bonus","starting salary was 95K + 5K bonus. received merit raise (?? or something) after 1 yr"
"215","Copy Editor","60000","White","Man (cisgender)","Gay","Full-time","3","6","0","0","0",NA
"216","Fashion Assistant","30000","White","Woman (cisgender)","Bisexual","Contract","1","2","NULL","NULL","None. It was hard enough to get paid for overtime.","I worked at 2 different condé brands in a 2 year period. They both were low pay GES roles. I was paid hourly."
"217","Senior Editor","91000","White","Woman (cisgender)","Bisexual","Full-time","1","6","0","0","0","Negotiated up from a 70K offer after making 100K at my last position."
"218","Editor","61200","White","Trans woman","Queer","Full-time","2","4","0","0","n/a","Started at $60K, had one raise"
"219","Staff writer","90000","Black","Man (cisgender)","Gay","Full-time","2","4","NULL","NULL","0",NA
"220","Director","180000","White as snow","Man (cisgender)","Straight","Full-time","3","15","19","4","32000","Got the job because my mommy is friends with a member of a very prominent oil family who had some high up connections at CN"
"221","Software Engineer 1","128000","Black","Woman (transgender)","Lesbian","Full-time","3","6","NULL","NULL","Benefits + PTO",NA
"222","Software Engineer","145000","AAPI","Man (cisgender)","Straight","Full-time","4","10","0","0","Before 2020, I would typically get ~$10k in annual bonuses","fully remote, outside NY. It's not often for me to work 60+ hour weeks and juggle 3 teams' projects; self-initiated. But during the past few months, it's been hard to do 40 hours even when motivated."
"223","Fact-Checker","66000","Black","Man (cisgender)","Straight","Full-time","3","4","NULL","1","0","Worked as a permalancer for two years (where I made more since permalancers get paid overtime) and took a pay cut to come on staff and get health insurance"
"224","Video Editor","85000","Biracial","Woman (cisgender)","Straight","Full-time","3","11","NULL","NULL","10% bonus","Starting salary $60k"
"225","Brand Lead","74500","White","Woman (cisgender)","Straight","Full-time","2","4","NULL","NULL","n/a","Located remotely (similar cost of living to NYC). Was moved into my current role from  Customer Success Manager with a title change but without a pay increase, even though my role changed and my responsibilities vastly increased."
"226","Associate Editor","50000","White","Woman (cisgender)","Straight","Full-time","2","5","0","0","0","Worked in this role from 2011-2013. Received one ""cost of living"" raise that was lower than the inflation rate."
"227","Word of Mouth Editor","65000","White","Woman (cisgender)","Straight","Full-time","1","7","0","0","0","Held this role in 2013. Moved from SELF to Condé Nast Traveler to this role. When I tried to negotiate, they threatened to rescind the offer and fire me from SELF if I didn't accept the offer as-is. I accepted and was laid off just a few weeks later when the EIC was fired and replaced."
"228","Product Manager","150000","Asian","Woman (cisgender)","Straight","Full-time","2","10","12","0","0","Very productive but never a raise"
"229","Analyst","50000","Afro-Latina","Woman (cisgender)","Straight","Full time contract worker","1","5","0","0","N/A","Contract worker paid hourly; I asked for 15k/year more at the time of hiring and was told the pay is non-negotiable"
"230","Designer","60000","White","Woman (cisgender)","Bisexual","Full-time","1","2","NULL","NULL","0","I did not negotiate my salary (regretfully) but this seemed fair at the time."
"231","Staff Writer","82000","White","Woman (cisgender)","Straight","Full-time","4","9","0","0","0","Starting salary 80k, negotiated based on salary at previous employer. Have received only automatic ""merit"" based raises"
"232","Marketing Director","102000","white","Woman (cisgender)","Straight","Full-time","2","8","0","0","7000","one promotion with an 8% salary increase"
"233","Executive Director, Editorial Strategy & Operations","2e+05","Asian","Woman (cisgender)","Straight","Full-time","1","20 or more","40","6","Even though I was in an executive role that was responsible for managing and bringing in revenue, I was told I was not eligible for bonuses.",NA
"234","Web Editor","1e+05","White","Man (cisgender)","Straight","Full-time","2","15","5","5","$4,000 annual personal expense budget",NA
"235","Editorial Director","245000","White","Woman (cisgender)","Straight","Full-time","4","15","6","1","Signing bonus 25,000","Received 2 merit raises and 1 award"
"236","Brand Lead","90000","White","Woman (cisgender)","Straight","Full-time","1","5","0","0","0",NA
"237","Senior Editor","92000","White","Woman (cisgender)","Straight","Full-time","1","8","0","0","None","Starting salary 80k in 2017, got a 10% raise less than a year in. Had to negotiate for another raise (to current salary) when my role changed."
"238","Brand Lead","92000","Black","Woman (cisgender)","Straight","Full-time","1","4","NULL","NULL","10% annual bonus",NA
"239","Director, Marketing","150000","White","Woman (cisgender)","Straight","Full-time","2","9","NULL","NULL","5K bonus",NA
"240","Digital Director","155000","White","Woman (cisgender)","Straight","Full-time","2","15","0","8","None",NA
"241","Staff writer","1500","white","Non-Binary","Queer","full-time freelance","1","15","NULL","NULL","My salary was WEEKLY (1500/week), no benefits of any kind, 'freelance' but worked full-time every day, attended meetings, had a Conde email and misleading staff title, etc","I was led to believe that my job would become permanent with benefits and a real salary at some point but it's now clear that was never going to happen"
"242","Senior Web Editor","1e+05","White","Woman (cisgender)","Queer","Full-time","1","9","6","4","occasional casting in branded content with rates ranging from $500 - $10000 per project",NA
"243","Program Manager","65000","White","Woman (cisgender)","Straight","Full-time","1","3","NULL","NULL","0","0 reviews at CN; Began at $35K at CN"
"244","Video Editor","93500","White","Man (cisgender)","Straight","Full-time","2","14","NULL","NULL","10% Bonus","Started as a Freelancer at $400/Day. Was offered a staff position after 7 Months."
"245","Rights Clearance Analyst","59600","White","Woman (cisgender)","Straight","Full-time","2","8","0","0","None","I was given a 2% increase last year in April (2019) during my review (despite receiving a positive albeit very short review) and was told this was all there was in the budget. While the semantics/ specifics weren't addressed, and while my salary did increase, I don't think I's consider this a merit increase per se because it is merely keeping up with inflation ('cost of living' increase, maybe? Although I could be wrong). With this said, though, I started with the team at the end of March 2018, and my salary did increase from around 50,500 when I started to maybe 58,500 in November/ December 2018 because of changing labor laws in NYC that would have required Conde to pay me overtime at my starting salary in addition to it; they elected to bump my salary instead. To clarify, I work in the NY office at 1WTC."
"246","GPT Support Manager","61425","White","Man (cisgender)","Straight","Full-time","2","5","0","0","Annual bonus","Started hourly/contract before being brought on full time"
"247","Editor","75000","Asian | Not Asian American","Woman (cisgender)","Straight","Full-time","3","11","1","3","N/A","The white woman who was my direct report told me once there is no such career path thing for people like me in the company, and she will reconsider if they need to hire Asians for the role. Also, when I filed the complain about 2 discrimination cases, CN did a performative investigation, they didn't admit there is discrimination in the company and there is no apology. Many minority people left CN when I was there, in the end, I left the shit hole too."
"248","Software Engineer 2","130000","White","Man (cisgender)","Straight","Full-time","1","11","0","0","10% of salary pay in form of yearly bonus",NA
"249","Staff editor","63000","White","Woman (cisgender)","Bisexual","Full-time","2","5","0","0","0","One salary increase after a year — starting salary was $60k"
"250","Analyst","70000","Asian","Woman (cisgender)","Straight","Full-time","2","4","NULL","NULL","None",NA
"251","Seniro Editor","60000","White","Man (cisgender)","Straight","Full-time","8","15","NULL","NULL","None","Remote from DC area"
"252","Video Editor/Animator","1e+05","White","Man (cisgender)","Straight","Freelance","2","10","0","0","0","Starting Salary of $350/day"
"253","Copy Editor","45000","White Latina","Woman (cisgender)","Straight","Full-time","2","2","0","0","0","This was ten years ago. I had been published in a major publication but they mostly only hired people who went to elite schools and came from rich families in editorial roles outside of fact-checking and copy-editing, or they at least made it feel that way, so I left for a raise. You were not advised to speak to the editor in chief (meaning say ""hi"" in passing) unless she spoke to you first - she said this herself in an interview. Also: Anna Wintour asks potential hires what their parents do for a living in interviews."
"254","Beauty Director","75000","White","Woman (cisgender)","Straight","Full-time","2","10","1","2","0",NA
"255","Senior editor","85000","White/Hispanic","Woman (cisgender)","Straight","Full-time","1","6","NULL","1","n/a","No indication whatsoever of how promotions work, if and when merit or cost of living raises happen"
"256","video editor","425","white","Man (cisgender)","Straight","Freelance","1","14","NULL","NULL","0",NA
"257","Production Associate","109000","White","Man (cisgender)","Straight","Full-time","13","20 or more","NULL","NULL","None","Starting salary of 38500, overtime department reduced from 3 full-time employees and 1 freelance person to 1 full-time employee and 1 freelance person with limited hours."
"258","UX Researcher","110000","White","Woman (cisgender)","Bisexual","Full-time","1","4","NULL","NULL","None","While interviewing I was told I had more experience than they were recruiting for, and the recruiter offered to try to raise the salary to more than 110K. When I received my offer it was for 100K and I negotiated up."
"259","Software Developer","97920","White","Man (cisgender)","Straight","Full-time","3","8","0","0","none","Remote employee outside of NY/SF.  Received $1000 raise in year one with no notice, department lost 1 employee who was never replaced at that time.  Received a 2% cost of living raise in year 2.  No merit raises to date."
"260","Editorial assistant","40000","White","Man (cisgender)","Straight","Full-time","2","6","NULL","NULL","$6,000-$8,000 in OT","Started as a permalancer with GES."
"261","Features editor","74000","White","Man (cisgender)","Straight","Full-time","6","12","0","0","0","Starting salary was $46,000 as a contract daily news editor for web (had ~3yrs in the field at the time)"
"262","Editorial assistant","40000","White","Man (cisgender)","Straight","Full-time","2","6","NULL","NULL","$6,000-$8,000 in OT","Started as a permalancer with GES."
"263","Associate editor","65000","white","Woman (cisgender)","Bisexual","Full-time","1","5","0","0","None","No clear path for promotions, no raises or COLA, no formal performance reviews. I took a ~15% pay cut to come here (same title, a lot more work) because my old job was about to lay everyone off."
"264","Sales Planner","58500","White","Woman (cisgender)","Straight","Full-time","3","3","0","0","Sales planner bonus","Started at $35k in Sales Associate role (1.5 years) $1,000 raise; Promoted to Sales Planner at $58,500 (1.5 years) no raise."
"265","Section editor (web)","67000","White","Man (cisgender)","Straight","Full-time","6","20 or more","NULL","NULL","none","Major west coast city"
"266","fashion market assistant","45","white","Woman (cisgender)","Straight","Full-time","3","3","NULL","NULL","1% yearly bonus ...","New York, started freelance worked to full time where I made less with the addition of benefits. worked 30+ hour weeks at one point with intense physical labor - as those in the fashion department know so well. little mobility up, company ran by rich white women. got a 1% yearly bonus and was told I should be grateful ..."
"267","Creative Producer","91000","White","Woman (cisgender)","Pansexual","Freelance","1","9","NULL","NULL","N/A",NA
"268","Brand Lead","1e+05","White","Man (cisgender)","Gay","Full-time","1","6","0","0","Eligible for up to 10% bonus, depending on company + personal metrics being hit.","N/A"
"269","Senior Manager","1e+05","White","Woman (cisgender)","Straight","Full-time","3","7","0","5","1 promotion, 2-3% merit increases every year","Starting at 85k, only got a 10% raise even though I went to managing 5 people."
"270","Staff Writer","63000","White","Woman (cisgender)","Straight","Full-time","3","6","0","0","0","Have repeatedly asked for a raise and been told the only way I'd get one is if I countered with another job offer."
"271","Senior Engineer","90000","Black","Man (cisgender)","Gay","Full-time","8","15","NULL","NULL","10000",NA
"272","Writer","60000","White, Middle Eastern","Woman (cisgender)","Straight","Full-time","5","7","NULL","NULL","0","Haven't received a raise in 5 years at my publication, despite multiple promotions + additional responsibilities. I work constantly, this job is my life. We are never recognized for how hard we work and are constantly told to do more, more, more. Also reeling at the bonuses on this spreadsheet, which are clearly a company secret! I've never been told that a bonus is even a possibility for me. Same for my colleagues."
"273","Account Manager","72500","Asian","Woman (cisgender)","Straight","Full-time","2","4","2","NULL","$15k Bonus (paid out quarterly)","Merit raise once to salary, once to bonus (two separate occasions)"
"274","Marketing Manager","75000","White/Latina","Woman (cisgender)","Straight","Full-time","1","5","0","0","Up to 3k based on performance","Did not budge on starting salary offer, despite trying to negotiate. Coworker on my team with same title and almost identical responsibilities is compensated higher."
"275","Associate Producer","60000","White","Man (cisgender)","Gay","Full-time","1","5","2","1","10% year comp bonus",NA
"276","Freelance assistant","10","white","Prefer Not to say","Prefer Not to Say","Freelance","1","1","NULL","NULL","none","paid $10/hr for maximum 40/hrs a week. was told not to report overtime and that we were to report 9-5 on timesheet though we regularly worked 12+hr days, until the company managing the freelancers' payroll found out what was happening. We often worked 70+ hours a week. no paid time off, no benefits. This all happened after the whole intern lawsuit fiasco"
"277","Software Engineer 3","160000","AAPI","Man (cisgender)","Queer","Full-time","2","12","0","0","Up to 10% bonus, Benefits + PTO","Hired as SE2 @ 135K with no bonus. Received a raise 1 year afterwards which also added the bonus, followed by a promotion (with another raise) 1 year after that"
"278","Producer","72000","White","Woman (cisgender)","Straight","Full-time","3","5","1","0","10% bonus","Was told the only way I'd receive a raise was to bring the company a competitive offer. Which meant that they recognized my value but still refused to pay me. Felt like a threat."
"279","Senior Writer","80000","White","Man (cisgender)","Gay","Full-time","3","6","0","0","0","1 promotion, 1 raise"
"280","Director Of Marketing","98000","White","Woman (cisgender)","Straight","Full-time","3","11","3","0","10k potential bonus, tied to overall company performance","Came in as Associate director at 80K, got promoted and was only offered a $5k increase, told them I would happily go get another offer if they needed to see my worth on paper - got them up to 95k with 10k bonus, merit raises over 2 yrs got my base to 98k."
"281","Social Video Editor / Coordinator","46875","Latinx/White","Woman (cisgender)","Queer","Contract","2","4","NULL","NULL","None. I worked on a daily rate.","A colleague and I built a whole social video production department from the ground up. I was then laughed at when I asked for a raise, even though I had been doing more than one job for the company."
"282","Senior Editor","52000","White","Woman (cisgender)","Straight","Full-time","3","6","NULL","NULL","None",NA
"283","Senior Analyst","70000","White","Woman (cisgender)","Straight","Full-time","1","3","NULL","NULL","none",NA
"284","Campaign Lead","54000","Black","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","yearly bonus","Los Angeles, CA"
"285","Freelance Branded Producer","120000","White","Woman (cisgender)","Straight","Freelance","1","6","1","0","0","They originally offered me $300/day to freelance produce. When I gave them my day rate (from competitor companies), I was able to negotiate up to $400. After 6 months, I was finally able to re-negotiate up to $500/day, which I felt was more comparable to what I had been paid elsewhere/reflected my experience. Also while they called me a ""producer,"" my paperwork said I was classified as a Sr. Producer. I also had to re-negotiate to be paid for weekend work (day rate vs week rate) instead of comp days, since I was never able to actually take the time off."
"286","Research Analyst","62000","White","Woman (cisgender)","Straight","Full-time","2","5","NULL","NULL","n/a",NA
"287","Video Assistant","31000","White","Woman (cisgender)","Straight","Full-time","2","3","1","0","Not even a goody bag","global, 3K increase in annual salary transitioning from intern to FTC. company wide insecurity means those above do not want you to succeed. the turn over rate of staff..... jeez."
"288","Production Manager","68000","White","Woman (cisgender)","Straight","Full-time","1","2","0","0","Bonus","Once offered the job, asked for a higher salary and was told to take it that amount and make a decision in 24 hours."
"289","Senior Research Manager","1e+05","South Asian","Gender Fluid","Queer","Full-time","1","6","1","NULL","N/A","Actually interviewed for a lower position of manager but negotiated using skills and experience for a higher salary and convinced hiring staff to hire at the senior manager level"
"290","Photo Assistant","45000","Asian","Woman (cisgender)","Queer","Full-time","1","4","0","0","None","Started as a freelancer (full-time permalancer) at $21/hr. After six months was offered $40,000 for a staff role and told that was final, but then negotiated up to $45,000 after letting HR know I knew another assistant was hired for $45,000 at the same time"
"291","Development Producer","85000","White","Woman (cisgender)","Straight","Full-time","2","7","0","0","0","Started on a contract position freelance with the expectation of working fulltime (permalance), no overtime, 7 months to get on staff,"
"292","Staff writer","62500","Euro-American","Man (cisgender)","Straight","Full-time","3","8","0","0","When I was permalance I would get paid $2/word to write magazine stuff (My normal job was for the web). They made me write for the mag for free once I became staff.","Was based in the Bay Area. Starting salary was $50,000. Was promised several raises that never came through (including one that was approved by an outgoing EIC, and subsequently denied by the incoming EIC)."
"293","Associate Social Media Producer","60000","South Asian","Woman (cisgender)","Straight","Full-time","1","5","0","0","0","I went from being on editorial at another mag for almost two years, making about $36,000 leaving to go to grad school, being hired back on the digital side and making $60,000 as a digital producer. They were not willing to negotiate. They were not willing to do relocation. They were like here's what we're offering, take it or leave it. It's fine, they laid off all their BIPOC staff in one fell swoop during an editorial changeover."
"294","Software Engineer II","130000","White","Man (cisgender)","Straight","Full-time","2","3","NULL","NULL","10k bonus",NA
"295","Senior Manager","1e+05","White","Woman (cisgender)","Straight","Full-time","3","7","0","5","1 promotion, 2-3% merit increases every year","Starting at 85k, only got a 10% raise even though I went to managing 5 people."
"296","Account Director","130000","Asian, South Pacific","Woman (cisgender)","Straight","Full-time","1","10","0","0","standard merit of 2%",NA
"297","Research director","75000","Asian/Pacific Islander","Man (cisgender)","Queer","Full-time","1","12","0","0","0","Previous employment salaries before coming to CN: $82,000 before leading to job at $90,000, but laid off. Took CN job at $75,000; initially asked to negotiate to $80-85k range, was denied. ""No other money for this position."""
"298","Video Editor/Animator","70000","Asian American","Man (cisgender)","Straight","Full-time","1","8","NULL","NULL","10% bonus","was supposed to get a promotion and raise this year...not gonna happen anytime soon"
"299","Senior Editor","90000","White","Man (cisgender)","Gay","Full-time","2","10","2","3","0",NA
